SampleID	DeadendCount
KGVET-2020-01-2318-1	128
KGVETS-2019-01-1761	79
KGVET-2020-01-2496-3	34
2018-01-2782	46
KGVET-2020-01-2328-1	110
KGVET-2020-01-2661	43
KGVET-2020-01-2959-1	20
2018-01-2734	4840
2018-01-389	3118
2018-01-4203	12
KGMAR-2020-428	40
2018-01-710	1248
2018-01-711	1119
KGVET-2019-01-3472-4	140
KGMAR-2019-1792	46
2018-01-1001	30
2018-01-4735	64
KGMAR-2016-563	42
KGVET-2018-01-3794	58
2018-01-4107	18
KGMAR-2019-1417-2	12
KGVET-2020-01-4327	14
KGVET-2020-01-468-1	95
KGMAR-2016-1397	27
KGVET-2020-04-18146	308
KGVETS-2019-01-1378	50
KGVETS-2019-01-1336	54
KGVETS-2019-01-1380	20
KGVETS-2019-01-1382	26
KGVETS-2019-01-1760	61
KGVETS-2019-01-1759	33
KGVETS-2019-01-1806	27
KGVETS-2019-01-1844	80
KGVET-2020-01-202-1	1758
KGVET-2020-01-4249-1	62
KGVET-2020-01-4188-1	16
KGVET-2020-01-3515	22
KGVET-2020-01-3775-3	22
2018-01-3465	27
2018-01-1439	24
KGVET-2019-01-3619	163
KGVET-2020-01-3721-3	50
KGMAR-2019-400-2	20
KGVET-2020-01-3421-1	3
KGVET-2020-01-2067-1	2954
KGVET-2020-01-3043-2	296
2018-01-2353	5698
2018-01-880	16
KGMAR-2016-1396	70
2018-01-778	960
KGMAR-2016-1200	30
KGMAR-2019-1766	84
2018-01-3218	72
KGMAR-2019-1459	17
KP_NORM_BLD_112590	72
KGVET-2020-01-2158-1	292
KGMAR-2016-1076	53
2018-01-4639	105
KGVET-2020-01-1661	100
KGVET-2020-01-2800-1	2
KGVET-2020-01-126	90
2018-01-2640	26
KGVET-2020-01-236-2	298
2018-01-714	1479
KGVET-2020-01-3514	12
2018-01-2730	5008
KGVET-2020-01-3513-1	0
KGMAR-2020-440	14
2018-01-2860	72
2018-01-707	1258
KGVET-2020-01-2209-1	984
KGMAR-2016-1198	62
KGMAR-2019-1434	30
KGVET-2020-01-2677-1	24
2018-01-3723	61
KGMAR-2019-604	8
KGVET-2020-01-2846-1	48
2018-01-1584	108
KP_NORM_BLD_13123	174
KP_NORM_BLD_116570	41
KP_NORM_BLD_115796	90
KP_NORM_BLD_114482	351
KP_NORM_BLD_115351	139
KP_NORM_BLD_114603	34
KP_NORM_BLD_114473	431
KGVET-2019-01-2264	66
KGMAR-2016-1178	48
KGMAR-2019-2186	142
KP_NORM_BLD_114453	351
KP_NORM_BLD_114458	380
KP_NORM_BLD_117477	24
KP_NORM_BLD_13129	124
KP_NORM_BLD_115369	168
KGMAR-2016-733	28
KP_NORM_BLD_115332	169
KP_NORM_BLD_13127	456
KP_NORM_BLD_114487	191
KP_NORM_BLD_116566	41
KGMAR-2019-1764	22
KP_NORM_BLD_116392	138
KP_NORM_BLD_115706	48
KGVET-2019-01-792	66
2018-01-2485	26
2018-01-1024	22
KGMAR-2019-1497	6
2018-01-3094	46
KGMAR-2016-319	40
KP_NORM_BLD_116378	23
KP_NORM_BLD_12934	59
2018-01-2085	5240
KP_NORM_BLD_116239	126
KGMAR-2016-1400	38
KGVET-2018-04-44577	40
KP_NORM_BLD_116241	252
KP_NORM_BLD_12850	133
KP_NORM_BLD_114309	151
KP_NORM_BLD_113321	1865
KP_NORM_BLD_112911	506
KP_NORM_BLD_113888	29
KP_NORM_BLD_113315	207
