SampleID	DeadendCount
2018-01-2860	2
2018-01-2730	0
2018-01-4203	2
KGVET-2018-04-44577	0
KGMAR-2016-319	0
2018-01-2353	6
KGVET-2020-01-2209-1	0
KGMAR-2016-733	2
KGVET-2018-01-3794	0
2018-01-2782	2
2018-01-880	2
2018-01-3218	2
KGVET-2020-01-3043-2	0
KGVET-2020-01-2318-1	0
2018-01-2485	2
KGMAR-2019-1764	0
KGVET-2020-01-126	0
2018-01-710	2
2018-01-1584	4
KGMAR-2019-2186	0
KGMAR-2016-1396	0
2018-01-2640	0
2018-01-4735	0
KGMAR-2019-1792	0
KGMAR-2019-1497	2
KGVET-2020-01-202-1	4
KGMAR-2019-1766	2
2018-01-2085	3
KGMAR-2016-1076	0
KGVET-2020-01-2661	2
KGVET-2020-01-236-2	0
KGMAR-2016-1200	2
KGMAR-2020-440	0
2018-01-1001	0
2018-01-714	2
KGMAR-2020-428	0
KGMAR-2019-1459	1
KGVETS-2019-01-4407	2
KGMAR-2019-1417-2	0
KGVETS-2019-01-897	0
KGVETS-2019-01-4637	0
KGVET-2020-01-3514	0
KGVETS-2019-01-3162	0
KGVETS-2019-01-2871	0
KGVETS-2019-01-2870	0
KGVETS-2019-01-2201	2
KGVETS-2019-01-1961	0
KGVETS-2019-01-2116	0
KGVETS-2019-01-1844	1
KGVETS-2019-01-1806	0
KGVETS-2019-01-1380	0
KGVETS-2019-01-1761	0
KGVETS-2019-01-1382	2
KGVETS-2019-01-1760	0
KGVETS-2019-01-1759	0
KGVETS-2019-01-1336	0
KGVETS-2019-01-1378	4
KGVET-2020-01-468-1	0
KGVET-2020-01-4327	2
KGVET-2020-04-18146	0
KGVET-2020-01-3775-3	0
KGVET-2020-01-4188-1	0
KGVET-2020-01-4249-1	2
KGVETS-2019-01-4548	0
KGVET-2020-01-2800-1	0
2018-01-3465	0
KGVET-2019-01-792	0
KGMAR-2016-563	0
2018-01-389	2
KGMAR-2019-400-2	6
2018-01-1024	0
KGVET-2020-01-3513-1	0
KGVET-2020-01-2846-1	0
2018-01-4107	2
KGMAR-2016-1400	6
KGMAR-2019-604	0
KGVET-2020-01-1661	0
KGVET-2020-01-2677-1	2
