#name	length	SampleID	AssemblyType
KGVET-2019-01-3619__chr length=5206778 circular=true	5206778	KGVET-2019-01-3619	CompleteAssembly
KGVET-2019-01-3619__pl_1 length=230126 circular=true	230126	KGVET-2019-01-3619	CompleteAssembly
KGVET-2019-01-3619__pl_2 length=119763 circular=true	119763	KGVET-2019-01-3619	CompleteAssembly
KGVET-2019-01-3619__pl_3 length=105056 circular=true	105056	KGVET-2019-01-3619	CompleteAssembly
KGVET-2019-01-3619__pl_4 length=16307 circular=true	16307	KGVET-2019-01-3619	CompleteAssembly
KGVET-2019-01-3619__pl_5 length=5763 circular=true	5763	KGVET-2019-01-3619	CompleteAssembly
KGVET-2019-01-3619__pl_6 length=3341 circular=true	3341	KGVET-2019-01-3619	CompleteAssembly
KGVET-2019-01-3619__pl_7 length=3336 circular=true	3336	KGVET-2019-01-3619	CompleteAssembly
2018-01-1439__chr length=5280837 circular=true	5280837	2018-01-1439	CompleteAssembly
2018-01-1439__pl_1 length=154959 circular=true	154959	2018-01-1439	CompleteAssembly
2018-01-1439__pl_2 length=109457 circular=true	109457	2018-01-1439	CompleteAssembly
2018-01-1439__pl_3 length=9294 circular=true	9294	2018-01-1439	CompleteAssembly
2018-01-1439__pl_4 length=5631 circular=true	5631	2018-01-1439	CompleteAssembly
2018-01-1439__pl_5 length=2255 circular=true	2255	2018-01-1439	CompleteAssembly
KGVET-2018-04-44577__chr length=5144053 circular=true	5144053	KGVET-2018-04-44577	CompleteAssembly
KGVET-2018-04-44577__pl_1 length=25445 circular=true	25445	KGVET-2018-04-44577	CompleteAssembly
KGVET-2018-04-44577__pl_2 length=4267 circular=true	4267	KGVET-2018-04-44577	CompleteAssembly
2018-01-4735__chr length=5286513 circular=true	5286513	2018-01-4735	CompleteAssembly
2018-01-4735__pl_1 length=9294 circular=true	9294	2018-01-4735	CompleteAssembly
2018-01-4735__pl_2 length=5631 circular=true	5631	2018-01-4735	CompleteAssembly
2018-01-4735__pl_3 length=5463 circular=true	5463	2018-01-4735	CompleteAssembly
2018-01-4735__pl_4 length=1527 circular=true	1527	2018-01-4735	CompleteAssembly
KGMAR-2019-1497__chr length=5270579 circular=true	5270579	KGMAR-2019-1497	CompleteAssembly
KGMAR-2019-1497__pl_1 length=196095 circular=true	196095	KGMAR-2019-1497	CompleteAssembly
KGMAR-2019-1497__pl_2 length=110499 circular=true	110499	KGMAR-2019-1497	CompleteAssembly
KGMAR-2019-1497__pl_3 length=17017 circular=true	17017	KGMAR-2019-1497	CompleteAssembly
KGMAR-2019-1497__pl_4 length=6213 circular=true	6213	KGMAR-2019-1497	CompleteAssembly
KGMAR-2019-1497__pl_5 length=3788 circular=true	3788	KGMAR-2019-1497	CompleteAssembly
KGMAR-2019-1497__pl_6 length=1900 circular=true	1900	KGMAR-2019-1497	CompleteAssembly
KGMAR-2019-400-2__chr length=5306170 circular=true	5306170	KGMAR-2019-400-2	CompleteAssembly
KGMAR-2019-400-2__pl_1 length=150057 circular=true	150057	KGMAR-2019-400-2	CompleteAssembly
KGMAR-2019-400-2__pl_2 length=27680 circular=true	27680	KGMAR-2019-400-2	CompleteAssembly
KGMAR-2019-400-2__pl_3 length=20008 circular=true	20008	KGMAR-2019-400-2	CompleteAssembly
KGMAR-2019-400-2__pl_4 length=4711 circular=true	4711	KGMAR-2019-400-2	CompleteAssembly
2018-01-3723__chr length=5411208 circular=true	5411208	2018-01-3723	CompleteAssembly
2018-01-3723__pl_1 length=127539 circular=true	127539	2018-01-3723	CompleteAssembly
KGVET-2019-01-792__chr length=5622595 circular=true	5622595	KGVET-2019-01-792	CompleteAssembly
KGVET-2019-01-792__pl_1 length=208800 circular=true	208800	KGVET-2019-01-792	CompleteAssembly
KGVET-2019-01-792__pl_2 length=100633 circular=true	100633	KGVET-2019-01-792	CompleteAssembly
KGVET-2019-01-792__pl_3 length=5840 circular=true	5840	KGVET-2019-01-792	CompleteAssembly
KGVET-2019-01-792__pl_4 length=4163 circular=true	4163	KGVET-2019-01-792	CompleteAssembly
2018-01-1584__chr length=5228166 circular=true	5228166	2018-01-1584	CompleteAssembly
2018-01-1584__pl_1 length=54170 circular=true	54170	2018-01-1584	CompleteAssembly
2018-01-1584__pl_2 length=51081 circular=true	51081	2018-01-1584	CompleteAssembly
2018-01-1584__pl_3 length=5463 circular=true	5463	2018-01-1584	CompleteAssembly
2018-01-1584__pl_4 length=2255 circular=true	2255	2018-01-1584	CompleteAssembly
KGVET-2020-01-4188-1__chr length=5228811 circular=true	5228811	KGVET-2020-01-4188-1	CompleteAssembly
KGVET-2020-04-18146__chr length=5241320 circular=true	5241320	KGVET-2020-04-18146	CompleteAssembly
KGVET-2020-04-18146__pl_1 length=348066 circular=true	348066	KGVET-2020-04-18146	CompleteAssembly
KGVET-2020-04-18146__pl_2 length=124141 circular=true	124139	KGVET-2020-04-18146	CompleteAssembly
KGVET-2020-04-18146__pl_3 length=5631 circular=true	5631	KGVET-2020-04-18146	CompleteAssembly
KGVET-2020-04-18146__pl_4 length=1552 circular=true	1552	KGVET-2020-04-18146	CompleteAssembly
KGMAR-2016-563__chr length=5319059 circular=true	5319059	KGMAR-2016-563	CompleteAssembly
KGMAR-2016-563__pl_1 length=94807 circular=true	94807	KGMAR-2016-563	CompleteAssembly
KGMAR-2016-563__pl_2 length=49942 circular=true	49942	KGMAR-2016-563	CompleteAssembly
KGMAR-2016-563__pl_3 length=4437 circular=true	4437	KGMAR-2016-563	CompleteAssembly
KGMAR-2016-563__pl_4 length=4091 circular=true	4091	KGMAR-2016-563	CompleteAssembly
KGVET-2020-01-2846-1__chr length=5402258 circular=true	5402258	KGVET-2020-01-2846-1	CompleteAssembly
2018-01-778__chr length=5234161 circular=true	5234161	2018-01-778	CompleteAssembly
2018-01-778__pl_1 length=77938 circular=true	77938	2018-01-778	CompleteAssembly
2018-01-778__pl_2 length=54425 circular=true	54425	2018-01-778	CompleteAssembly
2018-01-1001__chr length=5310593 circular=true	5310593	2018-01-1001	CompleteAssembly
2018-01-1001__pl_1 length=114471 circular=true	114471	2018-01-1001	CompleteAssembly
2018-01-1001__pl_2 length=108569 circular=true	108569	2018-01-1001	CompleteAssembly
2018-01-1001__pl_3 length=5631 circular=true	5631	2018-01-1001	CompleteAssembly
2018-01-1001__pl_4 length=5463 circular=true	5463	2018-01-1001	CompleteAssembly
2018-01-1001__pl_5 length=4091 circular=true	4091	2018-01-1001	CompleteAssembly
2018-01-1001__pl_6 length=1457 circular=true	1457	2018-01-1001	CompleteAssembly
KGMAR-2016-733__chr length=5426327 circular=true	5426328	KGMAR-2016-733	CompleteAssembly
KGMAR-2016-733__pl_1 length=233786 circular=true	233786	KGMAR-2016-733	CompleteAssembly
KGMAR-2016-733__pl_2 length=81510 circular=true	81511	KGMAR-2016-733	CompleteAssembly
KGMAR-2016-733__pl_3 length=70466 circular=true	70467	KGMAR-2016-733	CompleteAssembly
KGMAR-2016-733__pl_4 length=5925 circular=true	5925	KGMAR-2016-733	CompleteAssembly
KGMAR-2016-733__pl_5 length=5893 circular=true	5893	KGMAR-2016-733	CompleteAssembly
KGMAR-2016-733__pl_6 length=5840 circular=true	5840	KGMAR-2016-733	CompleteAssembly
KGVET-2020-01-2067-1__chr length=5364906 circular=true	5364693	KGVET-2020-01-2067-1	CompleteAssembly
KGVET-2020-01-2067-1__pl_1 length=3972 circular=true	3972	KGVET-2020-01-2067-1	CompleteAssembly
2018-01-4107__chr length=5295991 circular=true	5295991	2018-01-4107	CompleteAssembly
2018-01-4107__pl_1 length=45319 circular=true	45319	2018-01-4107	CompleteAssembly
2018-01-4107__pl_2 length=5631 circular=true	5631	2018-01-4107	CompleteAssembly
2018-01-4107__pl_3 length=4232 circular=true	4232	2018-01-4107	CompleteAssembly
2018-01-4107__pl_4 length=3897 circular=true	3897	2018-01-4107	CompleteAssembly
2018-01-4107__pl_5 length=1843 circular=true	1843	2018-01-4107	CompleteAssembly
2018-01-4107__pl_6 length=1506 circular=true	1506	2018-01-4107	CompleteAssembly
KGVET-2020-01-2318-1__chr length=5328021 circular=true	5328021	KGVET-2020-01-2318-1	CompleteAssembly
KGVET-2020-01-2318-1__pl_1 length=197410 circular=true	197410	KGVET-2020-01-2318-1	CompleteAssembly
KGMAR-2019-1434__chr length=5603882 circular=true	5603882	KGMAR-2019-1434	CompleteAssembly
KGMAR-2019-1434__pl_1 length=164560 circular=true	164560	KGMAR-2019-1434	CompleteAssembly
KGMAR-2019-1434__pl_2 length=54645 circular=true	54645	KGMAR-2019-1434	CompleteAssembly
KGMAR-2019-1434__pl_3 length=14289 circular=true	14289	KGMAR-2019-1434	CompleteAssembly
KGMAR-2019-1434__pl_4 length=12281 circular=true	12281	KGMAR-2019-1434	CompleteAssembly
KGMAR-2019-1434__pl_5 length=10145 circular=true	10145	KGMAR-2019-1434	CompleteAssembly
KGMAR-2019-1434__pl_6 length=8113 circular=true	8113	KGMAR-2019-1434	CompleteAssembly
KGMAR-2019-1434__pl_7 length=5080 circular=true	5080	KGMAR-2019-1434	CompleteAssembly
KGMAR-2019-1434__pl_8 length=3851 circular=true	3851	KGMAR-2019-1434	CompleteAssembly
KGMAR-2016-1198__chr length=5245077 circular=true accession=CP085097.1	5245077	KGMAR-2016-1198	CompleteAssembly
KGMAR-2016-1198__pl_1 length=265616 circular=true accession=CP085098.2	265616	KGMAR-2016-1198	CompleteAssembly
KGMAR-2019-1792__chr length=5303093 circular=true accession=CP085103.1	5303093	KGMAR-2019-1792	CompleteAssembly
KGMAR-2019-1792__pl_1 length=151942 circular=true accession=CP085104.1	151942	KGMAR-2019-1792	CompleteAssembly
KGMAR-2019-1792__pl_2 length=122654 circular=true accession=CP085105.1	122654	KGMAR-2019-1792	CompleteAssembly
2018-01-707__chr length=5315788 circular=true	5315792	2018-01-707	CompleteAssembly
2018-01-707__pl_1 length=208334 circular=true	208334	2018-01-707	CompleteAssembly
2018-01-707__pl_2 length=9294 circular=true	9294	2018-01-707	CompleteAssembly
2018-01-707__pl_3 length=5631 circular=true	5631	2018-01-707	CompleteAssembly
2018-01-707__pl_4 length=5463 circular=true	5463	2018-01-707	CompleteAssembly
2018-01-707__pl_5 length=1552 circular=true	1552	2018-01-707	CompleteAssembly
2018-01-707__pl_6 length=1506 circular=true	1506	2018-01-707	CompleteAssembly
KGMAR-2016-1178__chr length=5235913 circular=true	5235913	KGMAR-2016-1178	CompleteAssembly
KGMAR-2016-1178__pl_1 length=149276 circular=true	149276	KGMAR-2016-1178	CompleteAssembly
KGMAR-2016-1178__pl_2 length=76750 circular=true	76750	KGMAR-2016-1178	CompleteAssembly
KGMAR-2016-1178__pl_3 length=5488 circular=true	5488	KGMAR-2016-1178	CompleteAssembly
KGVETS-2019-01-2116__chr length=5571553 circular=true	5571553	KGVETS-2019-01-2116	CompleteAssembly
KGVETS-2019-01-2116__pl_1 length=160222 circular=true	160222	KGVETS-2019-01-2116	CompleteAssembly
KGVETS-2019-01-1759__chr length=5228346 circular=true accession=JAMCDI010000001.1	5228346	KGVETS-2019-01-1759	CompleteAssembly
KGVETS-2019-01-1759__pl_1 length=150155 circular=true accession=JAMCDI010000002.1	150155	KGVETS-2019-01-1759	CompleteAssembly
KGVETS-2019-01-1759__pl_2 length=9294 circular=true accession=JAMCDI010000003.1	9294	KGVETS-2019-01-1759	CompleteAssembly
KGVETS-2019-01-2201__chr length=5423540 circular=true	5423540	KGVETS-2019-01-2201	CompleteAssembly
KGVETS-2019-01-1844__chr length=5378252 circular=true	5378252	KGVETS-2019-01-1844	CompleteAssembly
KGVETS-2019-01-1844__pl_1 length=202186 circular=true	202186	KGVETS-2019-01-1844	CompleteAssembly
KGVETS-2019-01-1844__pl_2 length=24902 circular=true	24916	KGVETS-2019-01-1844	CompleteAssembly
KGVETS-2019-01-1844__pl_3 length=10058 circular=true	10058	KGVETS-2019-01-1844	CompleteAssembly
KGVETS-2019-01-1844__pl_4 length=1546 circular=true	1546	KGVETS-2019-01-1844	CompleteAssembly
KGVET-2020-01-3721-3__chr length=5269207 circular=true	5269207	KGVET-2020-01-3721-3	CompleteAssembly
KGVET-2020-01-3721-3__pl_1 length=204622 circular=true	204622	KGVET-2020-01-3721-3	CompleteAssembly
KGVETS-2019-01-1761__chr length=5420965 circular=true	5420965	KGVETS-2019-01-1761	CompleteAssembly
KGVETS-2019-01-1761__pl_1 length=165959 circular=true	165959	KGVETS-2019-01-1761	CompleteAssembly
KGVETS-2019-01-1760__chr length=5257891 circular=true	5257891	KGVETS-2019-01-1760	CompleteAssembly
KGVETS-2019-01-1760__pl_1 length=150155 circular=true	150155	KGVETS-2019-01-1760	CompleteAssembly
KGVETS-2019-01-1760__pl_2 length=54171 circular=true	54253	KGVETS-2019-01-1760	CompleteAssembly
KGVETS-2019-01-1760__pl_3 length=9294 circular=true	9294	KGVETS-2019-01-1760	CompleteAssembly
KGVET-2020-01-1661__chr length=5387724 circular=true	5387724	KGVET-2020-01-1661	CompleteAssembly
KGVET-2020-01-1661__pl_1 length=199130 circular=true	199130	KGVET-2020-01-1661	CompleteAssembly
KGVET-2020-01-1661__pl_2 length=105099 circular=true	105099	KGVET-2020-01-1661	CompleteAssembly
KGVET-2020-01-1661__pl_3 length=1506 circular=true	1506	KGVET-2020-01-1661	CompleteAssembly
KGVETS-2019-01-1806__chr length=5366405 circular=true accession=JAMCDH010000001.1	5366405	KGVETS-2019-01-1806	CompleteAssembly
KGVETS-2019-01-1806__pl_1 length=148386 circular=true accession=JAMCDH010000002.1	148386	KGVETS-2019-01-1806	CompleteAssembly
KGVETS-2019-01-1806__pl_2 length=105968 circular=true accession=JAMCDH010000003.1	105968	KGVETS-2019-01-1806	CompleteAssembly
KGVETS-2019-01-1806__pl_3 length=6871 circular=true accession=JAMCDH010000004.1	6871	KGVETS-2019-01-1806	CompleteAssembly
KGVETS-2019-01-1806__pl_4 length=5932 circular=true accession=JAMCDH010000005.1	5932	KGVETS-2019-01-1806	CompleteAssembly
KGVETS-2019-01-1806__pl_5 length=1549 circular=true accession=JAMCDH010000006.1	1549	KGVETS-2019-01-1806	CompleteAssembly
KGVET-2020-01-236-2__chr length=5329169 circular=true	5329169	KGVET-2020-01-236-2	CompleteAssembly
KGVET-2020-01-236-2__pl_1 length=9294 circular=true	9294	KGVET-2020-01-236-2	CompleteAssembly
KGVET-2020-01-236-2__pl_2 length=5631 circular=true	5631	KGVET-2020-01-236-2	CompleteAssembly
KGVET-2020-01-236-2__pl_3 length=5463 circular=true	5463	KGVET-2020-01-236-2	CompleteAssembly
