Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90	QuastReferenceSequence	ToolName	QuastType	SRAssemblerUsed
KGMAR-2019-604_SPAdescontigs	104	31	24	23	23	20	5352530	5328688	5305926	5296456	5296456	5206620	37	654051	5332903	5335640	57.42	57.43	335034	335034	101366	101366	337766.3	337593.0	7	7	16	16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3 + 0 part	39203	99.196	1.0	0.0	0.17	0.0	654051.0	5293700.0	335034	335034	101366	101366	337594.4	337421.2	7	7	16	16	KGMAR-2019-604__chr	spades	Chromosome	spades
KGVET-2020-01-3043-2_SPAdescontigs	221	20	15	14	14	12	5145511	5062861	5047530	5041340	5041340	4980160	39	1352858	5073355	5105113	57.79	57.75	466069	466069	316660	316660	659671.3	655567.6	4	4	9	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11 + 0 part	5645	99.219	1.0	0.0	1.24	0.0	1352858.0	5067588.0	466069	466069	316660	316660	659670.7	655567.0	4	4	9	9	KGVET-2020-01-3043-2__chr	spades	Chromosome	spades
KGVET-2020-01-202-1_SPAdescontigs	955	36	14	13	13	11	5592352	5107523	5073637	5068047	5068047	5006869	512	1106153	5398625	5128607	57.39	57.77	471812	605246	100150	356432	604683.2	636519.4	4	3	10	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	482 + 0 part	309616	99.19	1.0	0.0	1.53	0.31	1105940.0	5088107.0	471812	605246	100150	356432	604552.2	636381.5	4	3	10	8	KGVET-2020-01-202-1__chr	spades	Chromosome	spades
KGVET-2020-01-2209-1_SPAdescontigs	625	56	40	37	29	22	5696879	5450021	5415833	5395064	5266016	5009018	156	465213	5509633	5308300	57.13	57.34	269337	269337	50619	86800	264455.8	274486.0	8	8	22	19	0.0	0.0	0.0	0.0	0.0	0.0	1.0	99 + 9 part	244149	99.113	1.001	0.0	1.35	0.08	465213.0	5265484.0	269337	269337	50619	86800	263698.5	273700.0	8	8	22	19	KGVET-2020-01-2209-1__chr	spades	Chromosome	spades
NK_H23_014_SPAdescontigs	1250	44	26	22	19	16	6017242	5429534	5398924	5370110	5321934	5235147	474	1132260	5693068	5252731	56.88	57.49	410640	410640	94261	144989	470984.7	510467.4	5	5	15	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	449 + 0 part	484562	99.125	1.0	0.0	1.02	0.08	1132260.0	5207061.0	410640	410640	26291	135843	466945.9	506090.1	5	5	17	12	NK_H23_014__chr	spades	Chromosome	spades
2018-01-3094_SPAdescontigs	123	34	28	25	23	19	5339863	5308952	5299062	5278293	5238384	5078020	50	1355418	5319105	5238019	57.32	57.49	383634	383634	83351	86888	596701.1	605938.2	4	4	15	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16 + 0 part	128771	99.076	1.0	0.0	0.04	0.04	1355418.0	5190334.0	383634	383634	83351	86888	595766.7	604989.4	4	4	15	14	2018-01-3094__chr	spades	Chromosome	spades
2018-01-1439_SPAdescontigs	129	42	34	27	24	19	5537993	5512674	5499207	5448459	5408808	5235543	49	866708	5516912	5280837	57.17	57.55	404686	480708	92885	107249	460963.8	481570.8	5	4	15	13	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5 + 8 part	274742	99.21	1.001	0.0	0.82	0.13	866708.0	5242170.0	404686	480708	66266	99527	457392.9	477840.2	5	4	16	13	2018-01-1439__chr	spades	Chromosome	spades
KGVET-2020-01-3775-3_SPAdescontigs	81	24	18	17	16	15	5269715	5252675	5236567	5229695	5209278	5169517	30	741000	5256119	5285398	57.49	57.47	449960	449960	132272	132272	479499.0	476842.8	5	5	11	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3 + 0 part	11576	99.212	1.0	0.0	0.0	0.02	741000.0	5244543.0	449960	449960	132272	132272	479486.6	476830.5	5	5	11	11	KGVET-2020-01-3775-3__chr	spades	Chromosome	spades
KGVET-2020-01-4188-1_SPAdescontigs	121	24	20	18	16	15	5207016	5180005	5169858	5155278	5124856	5090363	33	883511	5185149	5228811	57.49	57.45	448909	448909	144745	133619	500193.6	496016.8	4	4	11	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1 + 0 part	512	99.144	1.0	0.0	0.0	0.06	883511.0	5184637.0	448909	448909	144745	133619	500193.5	496016.8	4	4	11	12	KGVET-2020-01-4188-1__chr	spades	Chromosome	spades
KGMAR-2016-1400_SPAdescontigs	173	78	63	53	42	31	5238165	5204094	5169819	5098416	4913526	4540173	93	382775	5214409	5088943	57.43	57.59	162574	162574	37640	45124	167053.4	171172.0	12	12	35	32	0.0	0.0	0.0	0.0	0.0	0.0	3.0	10 + 13 part	193108	98.594	1.001	0.0	1.06	0.08	382775.0	5021185.0	162574	162574	37640	45124	166343.3	170444.4	12	12	35	32	KGMAR-2016-1400__chr	spades	Chromosome	spades
