Search query: ((plasmid*[Title])) AND ((software[Title/Abstract]) OR (tool*[Title/Abstract]) OR program[Title/Abstract])) AND ((predict*[Title/Abstract]) OR (sequencing[Title/Abstract]) OR (identification[Title/Abstract]) OR (prediction[Title/Abstract]) OR (contigs[Title/Abstract]) OR (assembly[Title/Abstract]) OR (NGS[Title/Abstract]))
Year,Count
2026,7
2025,42
2024,39
2023,36
2022,41
2021,37
2020,36
2019,26
2018,28
2017,14
2016,10
2015,15
2014,14
2013,13
2012,14
2011,9
2010,11
2009,8
2008,6
2007,6
2006,6
2005,8
2004,2
2003,2
2002,2
2001,2
2000,4
1999,3
1998,5
1996,1
1995,1
1994,2
1993,1
1992,1
1991,4
1990,2
1989,1
1988,1
1987,2
1986,1
1985,1
1979,1
1978,1
1976,1
