Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# unaligned contigs	Unaligned length	# N's per 100 kbp	QuastReferenceSequence	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	Genome fraction (%)	Duplication ratio	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90	ToolName	QuastType	SRAssemblerUsed
KGVETS-2019-01-1761.plasmid	4	4	3	3	1	1	165403	165403	163144	163144	126847	126847	4	126847	165403	5420965	50.35	57.34	126847	-	23824	-	101681.5	3102.5	1	-	2	-	4 + 0 part	165403	0.0	KGVETS-2019-01-1761__chr																								Platon	Chromosome	spades
2018-01-3723.plasmid	4	4	3	3	2	1	114154	114154	111426	111426	93452	52345	4	52345	114154	5411208	49.49	57.35	41107	-	17974	-	41700.6	879.7	2	-	3	-	2 + 2 part	113849	0.0	2018-01-3723__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	1.0	327.87	0.0	178.0	305.0	-	-	-	-	0.4	0.0	-	-	-	-	Platon	Chromosome	spades
KP_NORM_BLD_114487.plasmid	7	7	7	4	2	1	144027	144027	144027	119447	92689	65386	7	65386	144027	5308597	51.42	57.42	27303	-	8954	-	38817.5	1053.2	2	-	6	-	5 + 2 part	143708	0.0	KP_NORM_BLD_114487__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	1.0	626.96	0.0	192.0	319.0	-	-	-	-	0.4	0.0	-	-	-	-	Platon	Chromosome	spades
KGMAR-2016-1076.plasmid	45	45	13	4	0	0	197322	197322	123685	59051	0	0	45	19184	197322	5243831	50.65	57.52	7360	-	1748	-	8065.3	303.5	9	-	31	-	39 + 5 part	190617	0.0	KGMAR-2016-1076__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	1.019	119.31	0.0	5768.0	6705.0	-	-	-	-	169.6	6.4	-	-	-	-	Platon	Chromosome	spades
KGMAR-2019-604.plasmid	2	2	2	1	1	0	38213	38213	38213	28743	28743	0	2	28743	38213	5335640	50.66	57.43	28743	-	9470	-	23966.7	171.6	1	-	2	-	2 + 0 part	38213	0.0	KGMAR-2019-604__chr																								Platon	Chromosome	spades
KGVET-2020-01-202-1.plasmid	5	5	1	0	0	0	11572	11572	5590	0	0	0	5	5590	11572	5128607	48.98	57.77	1719	-	1210	-	3485.3	7.9	2	-	5	-	5 + 0 part	11572	0.0	KGVET-2020-01-202-1__chr																								Platon	Chromosome	spades
KGVET-2020-01-2209-1.plasmid	12	12	7	4	1	0	132394	132394	120945	100176	46227	0	12	46227	132394	5308300	49.54	57.34	22738	-	5590	-	25358.6	632.5	2	-	7	-	6 + 6 part	131068	0.0	KGVET-2020-01-2209-1__chr	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.023	1.08	1508.3	0.0	474.0	1326.0	-	-	-	-	2.7	0.1	-	-	-	-	Platon	Chromosome	spades
2018-01-1439.plasmid	11	11	9	4	3	2	274506	274506	270362	234079	221416	187749	11	109584	274506	5280837	49.44	57.55	78165	-	8860	-	71756.7	3730.0	2	-	6	-	4 + 7 part	272598	0.0	2018-01-1439__chr	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.024	1.501	2044.03	104.82	864.0	1908.0	-	-	-	-	3.3	0.2	-	-	-	-	Platon	Chromosome	spades
2018-01-3094.plasmid	7	7	5	2	2	1	123179	123179	118105	97336	97336	54284	7	54284	123179	5238019	47.95	57.49	43052	-	5758	-	40317.9	948.1	2	-	4	-	7 + 0 part	123179	0.0	2018-01-3094__chr																								Platon	Chromosome	spades
NK_H23_014.plasmid	9	9	5	1	1	1	183926	183926	173803	144989	144989	144989	9	144989	183926	5252731	51.5	57.49	144989	-	7167	-	115613.9	4048.3	1	-	4	-	9 + 0 part	183926	0.0	NK_H23_014__chr																								Platon	Chromosome	spades
KGVET-2020-01-4188-1.plasmid	2	2	2	0	0	0	14580	14580	14580	0	0	0	2	7863	14580	5228811	47.48	57.45	7863	-	6717	-	7335.0	20.5	1	-	2	-	0 + 0 part	0	0.0	KGVET-2020-01-4188-1__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.279	1.0	0.0	0.0	7863.0	14580.0	7863	-	6717	-	7335.0	20.5	1	-	2	-	Platon	Chromosome	spades
