#name	length	SampleID	AssemblyType
KGMAR-2019-1792__chr length=5303093 circular=true accession=CP085103.1	5303093	KGMAR-2019-1792	CompleteAssembly
KGMAR-2019-1792__pl_1 length=151942 circular=true accession=CP085104.1	151942	KGMAR-2019-1792	CompleteAssembly
KGMAR-2019-1792__pl_2 length=122654 circular=true accession=CP085105.1	122654	KGMAR-2019-1792	CompleteAssembly
KGMAR-2016-563__chr length=5319059 circular=true	5319059	KGMAR-2016-563	CompleteAssembly
KGMAR-2016-563__pl_1 length=94807 circular=true	94807	KGMAR-2016-563	CompleteAssembly
KGMAR-2016-563__pl_2 length=49942 circular=true	49942	KGMAR-2016-563	CompleteAssembly
KGMAR-2016-563__pl_3 length=4437 circular=true	4437	KGMAR-2016-563	CompleteAssembly
KGMAR-2016-563__pl_4 length=4091 circular=true	4091	KGMAR-2016-563	CompleteAssembly
KGVET-2020-01-126__chr length=5190314 circular=true	5190314	KGVET-2020-01-126	CompleteAssembly
2018-01-3723__chr length=5411208 circular=true	5411208	2018-01-3723	CompleteAssembly
2018-01-3723__pl_1 length=127539 circular=true	127539	2018-01-3723	CompleteAssembly
KGVET-2018-01-3794__chr length=5267888 circular=true	5267888	KGVET-2018-01-3794	CompleteAssembly
KGMAR-2016-1178__chr length=5235913 circular=true	5235913	KGMAR-2016-1178	CompleteAssembly
KGMAR-2016-1178__pl_1 length=149276 circular=true	149276	KGMAR-2016-1178	CompleteAssembly
KGMAR-2016-1178__pl_2 length=76750 circular=true	76750	KGMAR-2016-1178	CompleteAssembly
KGMAR-2016-1178__pl_3 length=5488 circular=true	5488	KGMAR-2016-1178	CompleteAssembly
KGVET-2020-01-2846-1__chr length=5402258 circular=true	5402258	KGVET-2020-01-2846-1	CompleteAssembly
2018-01-3465__chr length=5241774 circular=true	5241774	2018-01-3465	CompleteAssembly
2018-01-3465__pl_1 length=124139 circular=true	124139	2018-01-3465	CompleteAssembly
2018-01-3465__pl_2 length=5631 circular=true	5631	2018-01-3465	CompleteAssembly
2018-01-3465__pl_3 length=1552 circular=true	1552	2018-01-3465	CompleteAssembly
2018-01-4107__chr length=5295991 circular=true	5295991	2018-01-4107	CompleteAssembly
2018-01-4107__pl_1 length=45319 circular=true	45319	2018-01-4107	CompleteAssembly
2018-01-4107__pl_2 length=5631 circular=true	5631	2018-01-4107	CompleteAssembly
2018-01-4107__pl_3 length=4232 circular=true	4232	2018-01-4107	CompleteAssembly
2018-01-4107__pl_4 length=3897 circular=true	3897	2018-01-4107	CompleteAssembly
2018-01-4107__pl_5 length=1843 circular=true	1843	2018-01-4107	CompleteAssembly
2018-01-4107__pl_6 length=1506 circular=true	1506	2018-01-4107	CompleteAssembly
2018-01-2485__chr length=5314429 circular=true	5314429	2018-01-2485	CompleteAssembly
2018-01-2485__pl_1 length=208334 circular=true	208334	2018-01-2485	CompleteAssembly
2018-01-2485__pl_2 length=9294 circular=true	9294	2018-01-2485	CompleteAssembly
2018-01-2485__pl_3 length=5631 circular=true	5631	2018-01-2485	CompleteAssembly
2018-01-2485__pl_4 length=5463 circular=true	5463	2018-01-2485	CompleteAssembly
KGVET-2020-01-2661__chr length=5354829 circular=true	5354829	KGVET-2020-01-2661	CompleteAssembly
KGVET-2020-01-2661__pl_1 length=125338 circular=true	125338	KGVET-2020-01-2661	CompleteAssembly
KGVET-2020-01-2661__pl_2 length=31859 linear=true	31859	KGVET-2020-01-2661	CompleteAssembly
KGMAR-2019-400-2__chr length=5306170 circular=true	5306170	KGMAR-2019-400-2	CompleteAssembly
KGMAR-2019-400-2__pl_1 length=150057 circular=true	150057	KGMAR-2019-400-2	CompleteAssembly
KGMAR-2019-400-2__pl_2 length=27680 circular=true	27680	KGMAR-2019-400-2	CompleteAssembly
KGMAR-2019-400-2__pl_3 length=20008 circular=true	20008	KGMAR-2019-400-2	CompleteAssembly
KGMAR-2019-400-2__pl_4 length=4711 circular=true	4711	KGMAR-2019-400-2	CompleteAssembly
2018-01-1001__chr length=5310593 circular=true	5310593	2018-01-1001	CompleteAssembly
2018-01-1001__pl_1 length=114471 circular=true	114471	2018-01-1001	CompleteAssembly
2018-01-1001__pl_2 length=108569 circular=true	108569	2018-01-1001	CompleteAssembly
2018-01-1001__pl_3 length=5631 circular=true	5631	2018-01-1001	CompleteAssembly
2018-01-1001__pl_4 length=5463 circular=true	5463	2018-01-1001	CompleteAssembly
2018-01-1001__pl_5 length=4091 circular=true	4091	2018-01-1001	CompleteAssembly
2018-01-1001__pl_6 length=1457 circular=true	1457	2018-01-1001	CompleteAssembly
KGMAR-2019-1434__chr length=5603882 circular=true	5603882	KGMAR-2019-1434	CompleteAssembly
KGMAR-2019-1434__pl_1 length=164560 circular=true	164560	KGMAR-2019-1434	CompleteAssembly
KGMAR-2019-1434__pl_2 length=54645 circular=true	54645	KGMAR-2019-1434	CompleteAssembly
KGMAR-2019-1434__pl_3 length=14289 circular=true	14289	KGMAR-2019-1434	CompleteAssembly
