Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90	QuastReferenceSequence	ToolName	QuastType	SRAssemblerUsed
2018-01-2860_Unicyclercontigs	91	33	26	24	23	19	5240976	5222856	5202737	5192023	5169087	5034290	42	889487	5229092	5223344	57.43	57.47	378033	378033	99242	99242	403973.2	404417.7	5	5	15	15	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4 + 1 part	67718	98.814	1.0	0.0	0.0	0.02	889487.0	5161374.0	378033	378033	99242	99242	403138.4	403582.0	5	5	15	15	2018-01-2860__chr	unicycler	Chromosome	unicycler
KGVET-2018-01-3794_Unicyclercontigs	66	29	24	22	20	17	5222915	5212158	5199048	5184130	5142245	5040669	35	829264	5216382	5267888	57.65	57.61	416676	416676	99277	99277	506702.5	501748.3	4	4	13	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0 + 0 part	0	99.034	1.0	0.0	0.0	0.02	829264.0	5216382.0	416676	416676	99277	99277	506702.5	501748.3	4	4	13	13	KGVET-2018-01-3794__chr	unicycler	Chromosome	unicycler
2018-01-4735_Unicyclercontigs	67	26	22	19	18	16	5261038	5249902	5238888	5218500	5207157	5146802	29	1779938	5252005	5286513	57.47	57.45	430820	430820	123323	112963	795588.4	790395.2	3	3	12	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4 + 0 part	21915	98.943	1.0	0.0	0.0	0.08	1779938.0	5230090.0	430820	430820	123323	112963	795559.8	790366.8	3	3	12	13	2018-01-4735__chr	unicycler	Chromosome	unicycler
2018-01-2782_Unicyclercontigs	91	37	28	28	25	21	5167380	5154680	5138521	5138521	5084162	4948152	41	766070	5157292	5250366	57.52	57.43	362410	362410	93426	86488	388319.8	381436.0	5	5	17	18	1.0	1.0	766070.0	0.0	0.0	0.0	0.0	0 + 0 part	0	98.229	1.0	0.0	0.45	0.1	719639.0	5157063.0	360998	360998	93327	86488	331606.9	325728.5	6	6	18	19	2018-01-2782__chr	unicycler	Chromosome	unicycler
KGMAR-2019-1764_Unicyclercontigs	83	25	18	18	17	14	5286384	5271000	5254538	5254538	5234377	5129591	31	1015561	5274840	5197806	57.36	57.54	423455	643469	100330	254691	600995.9	609902.9	4	3	10	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6 + 0 part	134443	98.899	1.0	0.0	0.0	0.02	1015561.0	5140397.0	423455	643469	100330	254691	599332.7	608215.1	4	3	10	9	KGMAR-2019-1764__chr	unicycler	Chromosome	unicycler
KGVET-2020-01-2318-1_Unicyclercontigs	83	36	30	29	27	24	5464845	5452212	5440037	5432424	5389051	5280343	41	853496	5455927	5328021	57.06	57.46	267513	267513	99258	101888	339570.5	347722.3	7	7	19	18	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1 + 0 part	195920	98.74	1.0	0.0	0.19	0.27	853496.0	5260007.0	267513	267513	73340	86329	332535.1	340518.0	7	7	21	19	KGVET-2020-01-2318-1__chr	unicycler	Chromosome	unicycler
KGMAR-2019-1792_Unicyclercontigs	144	77	51	45	35	24	5489994	5469133	5421065	5371983	5199273	4800912	89	874415	5477446	5303093	57.34	57.51	235511	235511	40228	51073	330430.2	341294.0	7	7	27	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23 + 3 part	241874	98.722	1.0	0.0	0.15	0.0	874415.0	5235572.0	235511	235511	35153	46604	329169.6	339991.9	7	7	28	24	KGMAR-2019-1792__chr	unicycler	Chromosome	unicycler
KGMAR-2019-1766_Unicyclercontigs	226	84	45	36	28	21	5374968	5331455	5239891	5166527	5036489	4808275	105	1007450	5346877	5079953	57.5	57.72	339154	339154	44958	81531	381457.9	401501.5	6	6	22	18	0.0	0.0	0.0	0.0	0.0	0.0	2.0	42 + 9 part	340956	98.47	1.001	0.0	2.5	0.02	1007450.0	5005679.0	339154	339154	34270	81531	379904.7	399866.6	6	6	22	18	KGMAR-2019-1766__chr	unicycler	Chromosome	unicycler
KGVET-2020-01-2661_Unicyclercontigs	177	75	55	50	40	33	5410609	5380897	5339550	5300994	5162767	4947559	93	714254	5392056	5354829	57.24	57.37	130457	130457	59029	67659	239105.8	240768.1	9	9	32	31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9 + 3 part	143092	98.014	1.0	0.0	0.38	0.04	714254.0	5248964.0	130457	130457	59029	67659	238646.7	240305.8	9	9	32	31	KGVET-2020-01-2661__chr	unicycler	Chromosome	unicycler
KGVET-2020-01-236-2_Unicyclercontigs	83	31	24	21	19	17	5304108	5289813	5270711	5250323	5218502	5158147	37	799904	5294121	5329169	57.42	57.4	485993	485993	112963	103594	468300.5	465220.7	4	4	13	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4 + 0 part	21915	98.937	1.0	0.0	0.0	0.06	799904.0	5272206.0	485993	485993	112963	103594	468272.1	465192.5	4	4	13	14	KGVET-2020-01-236-2__chr	unicycler	Chromosome	unicycler
