reference-ID	query-ID	distance	p-value	shared-hashes	SampleID
KGMAR-2019-1792__chr.fasta	KGMAR-2019-1792__allPlasmids.fasta	0.279303	0	142/100000	KGMAR-2019-1792
KGMAR-2019-1792__chr.fasta	KGMAR-2019-1792__chr.fasta	0	0	100000/100000	KGMAR-2019-1792
KGMAR-2019-1792__chr.fasta	KGMAR-2019-1792__completeAssembly.fasta	0.00109157	0	95568/100000	KGMAR-2019-1792
KGMAR-2019-1792__chr.fasta	KGMAR-2019-1792__pl_1.fasta	0.304276	0	84/100000	KGMAR-2019-1792
KGMAR-2019-1792__chr.fasta	KGMAR-2019-1792__pl_2.fasta	0.313636	6.37171e-276	69/100000	KGMAR-2019-1792
KGVETS-2019-01-1844__chr.fasta	KGVETS-2019-01-1844__allPlasmids.fasta	0.360092	1.00029e-86	26/100000	KGVETS-2019-01-1844
KGVETS-2019-01-1844__chr.fasta	KGVETS-2019-01-1844__chr.fasta	0	0	100000/100000	KGVETS-2019-01-1844
KGVETS-2019-01-1844__chr.fasta	KGVETS-2019-01-1844__completeAssembly.fasta	0.00102317	0	95837/100000	KGVETS-2019-01-1844
KGVETS-2019-01-1844__chr.fasta	KGVETS-2019-01-1844__pl_1.fasta	0.372583	3.47136e-66	20/100000	KGVETS-2019-01-1844
KGVETS-2019-01-1844__chr.fasta	KGVETS-2019-01-1844__pl_2.fasta	0.429909	4.46334e-23	6/100000	KGVETS-2019-01-1844
KGVETS-2019-01-1844__chr.fasta	KGVETS-2019-01-1844__pl_3.fasta	1	1	0/100000	KGVETS-2019-01-1844
KGVETS-2019-01-1844__chr.fasta	KGVETS-2019-01-1844__pl_4.fasta	1	1	0/100000	KGVETS-2019-01-1844
2018-01-710__chr.fasta	2018-01-710__allPlasmids.fasta	1	1	0/100000	2018-01-710
2018-01-710__chr.fasta	2018-01-710__chr.fasta	0	0	100000/100000	2018-01-710
2018-01-710__chr.fasta	2018-01-710__completeAssembly.fasta	0.000199822	0	99166/100000	2018-01-710
2018-01-710__chr.fasta	2018-01-710__pl_1.fasta	1	1	0/100000	2018-01-710
2018-01-710__chr.fasta	2018-01-710__pl_2.fasta	1	1	0/100000	2018-01-710
2018-01-710__chr.fasta	2018-01-710__pl_3.fasta	1	1	0/100000	2018-01-710
KGMAR-2016-1076__chr.fasta	KGMAR-2016-1076__allPlasmids.fasta	0.26521	0	191/100000	KGMAR-2016-1076
KGMAR-2016-1076__chr.fasta	KGMAR-2016-1076__chr.fasta	0	0	100000/100000	KGMAR-2016-1076
KGMAR-2016-1076__chr.fasta	KGMAR-2016-1076__completeAssembly.fasta	0.00124824	0	94956/100000	KGMAR-2016-1076
KGMAR-2016-1076__chr.fasta	KGMAR-2016-1076__pl_1.fasta	0.264962	0	192/100000	KGMAR-2016-1076
KGMAR-2016-1076__chr.fasta	KGMAR-2016-1076__pl_2.fasta	0.289333	0	115/100000	KGMAR-2016-1076
KGMAR-2016-1076__chr.fasta	KGMAR-2016-1076__pl_3.fasta	1	1	0/100000	KGMAR-2016-1076
KGMAR-2016-1076__chr.fasta	KGMAR-2016-1076__pl_4.fasta	1	1	0/100000	KGMAR-2016-1076
KGMAR-2016-1076__chr.fasta	KGMAR-2016-1076__pl_5.fasta	1	1	0/100000	KGMAR-2016-1076
KGMAR-2016-1076__chr.fasta	KGMAR-2016-1076__pl_6.fasta	1	1	0/100000	KGMAR-2016-1076
KGMAR-2016-1076__chr.fasta	KGMAR-2016-1076__pl_7.fasta	1	1	0/100000	KGMAR-2016-1076
KGVET-2020-01-202-1__chr.fasta	KGVET-2020-01-202-1__allPlasmids.fasta	1	1	0/100000	KGVET-2020-01-202-1
KGVET-2020-01-202-1__chr.fasta	KGVET-2020-01-202-1__chr.fasta	0	0	100000/100000	KGVET-2020-01-202-1
KGVET-2020-01-202-1__chr.fasta	KGVET-2020-01-202-1__completeAssembly.fasta	2.57351e-05	0	99892/100000	KGVET-2020-01-202-1
KGVET-2020-01-202-1__chr.fasta	KGVET-2020-01-202-1__pl_1.fasta	1	1	0/100000	KGVET-2020-01-202-1
KP_NORM_BLD_2007_46696__chr.fasta	KP_NORM_BLD_2007_46696__allPlasmids.fasta	0.255359	0	235/100000	KP_NORM_BLD_2007_46696
KP_NORM_BLD_2007_46696__chr.fasta	KP_NORM_BLD_2007_46696__chr.fasta	0	0	100000/100000	KP_NORM_BLD_2007_46696
KP_NORM_BLD_2007_46696__chr.fasta	KP_NORM_BLD_2007_46696__completeAssembly.fasta	0.000910659	0	96282/100000	KP_NORM_BLD_2007_46696
KP_NORM_BLD_2007_46696__chr.fasta	KP_NORM_BLD_2007_46696__pl_1.fasta	0.255359	0	235/100000	KP_NORM_BLD_2007_46696
KP_NORM_BLD_2007_46696__chr.fasta	KP_NORM_BLD_2007_46696__pl_2.fasta	0.269098	0	176/100000	KP_NORM_BLD_2007_46696
KP_NORM_BLD_2497__chr.fasta	KP_NORM_BLD_2497__allPlasmids.fasta	0.33841	3.6143e-146	41/100000	KP_NORM_BLD_2497
KP_NORM_BLD_2497__chr.fasta	KP_NORM_BLD_2497__chr.fasta	0	0	100000/100000	KP_NORM_BLD_2497
KP_NORM_BLD_2497__chr.fasta	KP_NORM_BLD_2497__completeAssembly.fasta	0.000955067	0	96106/100000	KP_NORM_BLD_2497
KP_NORM_BLD_2497__chr.fasta	KP_NORM_BLD_2497__pl_1.fasta	0.33841	1.18523e-146	41/100000	KP_NORM_BLD_2497
KP_NORM_BLD_2497__chr.fasta	KP_NORM_BLD_2497__pl_2.fasta	1	1	0/100000	KP_NORM_BLD_2497
KGMAR-2016-1178__chr.fasta	KGMAR-2016-1178__allPlasmids.fasta	0.247549	0	277/100000	KGMAR-2016-1178
KGMAR-2016-1178__chr.fasta	KGMAR-2016-1178__chr.fasta	0	0	100000/100000	KGMAR-2016-1178
KGMAR-2016-1178__chr.fasta	KGMAR-2016-1178__completeAssembly.fasta	0.000883217	0	96391/100000	KGMAR-2016-1178
KGMAR-2016-1178__chr.fasta	KGMAR-2016-1178__pl_1.fasta	0.264225	0	195/100000	KGMAR-2016-1178
KGMAR-2016-1178__chr.fasta	KGMAR-2016-1178__pl_2.fasta	0.271309	0	168/100000	KGMAR-2016-1178
KGMAR-2016-1178__chr.fasta	KGMAR-2016-1178__pl_3.fasta	1	1	0/100000	KGMAR-2016-1178
NK_H15_056__chr.fasta	NK_H15_056__allPlasmids.fasta	0.285749	0	124/100000	NK_H15_056
NK_H15_056__chr.fasta	NK_H15_056__chr.fasta	0	0	100000/100000	NK_H15_056
