Prediction	SampleID	QueryID	QueryLength	SubjectID	SubjectLength	AlignmentLength	Identity	QCovHSP	geNomadPrediction	MOBPrediction	PLASMePrediction	PlasmerPrediction	PlasmidHunterPrediction	PlatonPrediction	SRAssemblerUsed
truth	KGVET-2019-01-792	1_length=970382_depth=1.00x	970382	KGVET-2019-01-792__chr	5622595	970382	100.0	100		chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	2_length=519217_depth=1.26x	519217	KGVET-2019-01-792__chr	5622595	519217	100.0	100		chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	3_length=419430_depth=0.87x	419430	KGVET-2019-01-792__chr	5622595	419430	100.0	100	plasmid	chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	4_length=374261_depth=1.07x	374261	KGVET-2019-01-792__chr	5622595	374261	100.0	100		chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	5_length=360803_depth=1.36x	360803	KGVET-2019-01-792__chr	5622595	360803	100.0	100		chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	6_length=331885_depth=0.87x	331885	KGVET-2019-01-792__chr	5622595	331885	100.0	100	plasmid	chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	7_length=326200_depth=0.99x	326200	KGVET-2019-01-792__chr	5622595	252151	99.981	77		chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	7_length=326200_depth=0.99x	326200	KGVET-2019-01-792__chr	5622595	74722	99.967	23		chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	8_length=298003_depth=0.92x	298003	KGVET-2019-01-792__chr	5622595	298003	100.0	100		chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	9_length=219995_depth=1.23x	219995	KGVET-2019-01-792__chr	5622595	219995	100.0	100		chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	10_length=192159_depth=1.40x	192159	KGVET-2019-01-792__chr	5622595	192159	100.0	100		chromosome	plasmid	chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	11_length=191492_depth=1.14x	191492	KGVET-2019-01-792__chr	5622595	191492	100.0	100		chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	12_length=187832_depth=1.18x	187832	KGVET-2019-01-792__chr	5622595	187832	100.0	100		chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	13_length=176952_depth=1.30x	176952	KGVET-2019-01-792__chr	5622595	176952	100.0	100		chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	14_length=167874_depth=1.42x	167874	KGVET-2019-01-792__chr	5622595	117770	100.0	70		chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	14_length=167874_depth=1.42x	167874	KGVET-2019-01-792__chr	5622595	50104	100.0	30		chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	15_length=130442_depth=1.19x	130442	KGVET-2019-01-792__chr	5622595	130442	100.0	100		chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	16_length=108661_depth=1.36x	108661	KGVET-2019-01-792__chr	5622595	108661	100.0	100		chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	17_length=98318_depth=1.43x	98318	KGVET-2019-01-792__chr	5622595	98318	100.0	100		chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	18_length=86301_depth=1.39x	86301	KGVET-2019-01-792__chr	5622595	86301	100.0	100		chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	19_length=64833_depth=1.10x	64833	KGVET-2019-01-792__chr	5622595	64833	100.0	100	plasmid	chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	20_length=63825_depth=1.86x	63825	KGVET-2019-01-792__pl_2	100633	63825	100.0	100	plasmid	chromosome	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	21_length=56766_depth=1.32x	56766	KGVET-2019-01-792__chr	5622595	56766	100.0	100		chromosome	plasmid	chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	22_length=53645_depth=0.79x	53645	KGVET-2019-01-792__chr	5622595	53645	100.0	100	plasmid	chromosome	plasmid	chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	23_length=43848_depth=0.90x	43848	KGVET-2019-01-792__chr	5622595	43848	100.0	100		chromosome	plasmid	chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	24_length=37330_depth=1.12x	37330	KGVET-2019-01-792__chr	5622595	37330	100.0	100		chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	25_length=36396_depth=1.31x	36396	KGVET-2019-01-792__pl_1	208800	36395	100.0	99	plasmid	plasmid	plasmid	plasmid	plasmid	chromosome	unicycler
truth	KGVET-2019-01-792	26_length=34302_depth=1.33x	34302	KGVET-2019-01-792__chr	5622595	34302	100.0	100		chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	27_length=26590_depth=1.32x	26590	KGVET-2019-01-792__pl_1	208800	24108	99.938	91	plasmid	plasmid	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	27_length=26590_depth=1.32x	26590	KGVET-2019-01-792__pl_1	208800	3720	95.833	14	plasmid	plasmid	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	28_length=26112_depth=1.29x	26112	KGVET-2019-01-792__pl_1	208800	26112	100.0	100	plasmid	plasmid	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	29_length=26064_depth=1.23x	26064	KGVET-2019-01-792__chr	5622595	26064	100.0	100		chromosome	plasmid	chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	30_length=18559_depth=1.18x	18559	KGVET-2019-01-792__chr	5622595	18559	100.0	100		chromosome		plasmid	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	31_length=17944_depth=1.22x	17944	KGVET-2019-01-792__chr	5622595	17944	100.0	100		chromosome		plasmid	plasmid	chromosome	unicycler
truth	KGVET-2019-01-792	32_length=12122_depth=1.39x	12122	KGVET-2019-01-792__chr	5622595	12122	100.0	100		chromosome	plasmid	chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	33_length=11924_depth=1.75x	11924	KGVET-2019-01-792__pl_2	100633	1074	100.0	9	plasmid	plasmid	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	33_length=11924_depth=1.75x	11924	KGVET-2019-01-792__pl_2	100633	10850	100.0	91	plasmid	plasmid	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	34_length=11356_depth=1.53x	11356	KGVET-2019-01-792__pl_1	208800	11356	100.0	100	plasmid	plasmid	plasmid	chromosome	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	35_length=10003_depth=6.21x_circular=true	10003	KGVET-2019-01-792__pl_3	5840	2991	98.73	30	plasmid	plasmid	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	35_length=10003_depth=6.21x_circular=true	10003	KGVET-2019-01-792__pl_3	5840	3119	100.0	31	plasmid	plasmid	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	35_length=10003_depth=6.21x_circular=true	10003	KGVET-2019-01-792__pl_4	4163	2413	100.0	24	plasmid	plasmid	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	35_length=10003_depth=6.21x_circular=true	10003	KGVET-2019-01-792__pl_4	4163	2442	97.993	24	plasmid	plasmid	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	36_length=9576_depth=1.40x	9576	KGVET-2019-01-792__pl_1	208800	9576	100.0	100	plasmid	chromosome	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	37_length=9482_depth=1.34x	9482	KGVET-2019-01-792__pl_1	208800	9486	98.619	100	plasmid	plasmid	plasmid	plasmid	plasmid	plasmid	unicycler
