ToolName,tag,duration,total_seconds,total_minutes,peak_rss,peak_rss_gb
plasmidSPAdes,2018-01-3465,13m 49s,829,13.816666666666666,5 GB,5
SPAdes,KGMAR-2019-604,15m 9s,909,15.15,5.1 GB,5.1
PlaScope (reads),2018-01-2485,23m 37s,1417,23.616666666666667,5.3 GB,5.3
plasmidSPAdes,KGMAR-2019-1792,26m 6s,1566,26.1,5.2 GB,5.2
plasmidSPAdes,KGMAR-2016-1396,25m 12s,1512,25.2,4.6 GB,4.6
PlaScope (reads),KGVET-2020-01-3421-1,29m 47s,1787,29.783333333333335,5.6 GB,5.6
PlaScope (reads),2018-01-3218,34m 28s,2068,34.46666666666667,5.5 GB,5.5
PlaScope (reads),KGVET-2020-01-2328-1,23m 17s,1397,23.283333333333335,5.6 GB,5.6
SPAdes,KGVET-2020-01-3043-2,40m 5s,2405,40.083333333333336,4.7 GB,4.7
SPAdes,KGVET-2020-01-2209-1,29m 5s,1745,29.083333333333332,5.1 GB,5.1
SPAdes,2018-01-3094,21m 42s,1302,21.7,5 GB,5
SPAdes,KGVET-2020-01-202-1,21m 7s,1267,21.116666666666667,5 GB,5
SPAdes,2018-01-1439,26m 20s,1580,26.333333333333332,5.1 GB,5.1
SPAdes,NK_H23_014,16m 20s,980,16.333333333333332,5.1 GB,5.1
SPAdes,KGVET-2020-01-3775-3,24m 23s,1463,24.383333333333333,5 GB,5
SPAdes,KGVET-2020-01-4188-1,26m 41s,1601,26.683333333333334,5 GB,5
PlaScope (reads),2018-01-1024,35m 24s,2124,35.4,5.6 GB,5.6
PlaScope (reads),KGVET-2020-01-202-1,30m 40s,1840,30.666666666666668,5.5 GB,5.5
HyAsP,KGMAR-2019-604,10m 49s,649,10.816666666666666,1.4 GB,1.4
HyAsP,KGVET-2020-01-3043-2,8m 50s,530,8.833333333333334,1.4 GB,1.4
HyAsP,2018-01-3094,8m 34s,514,8.566666666666666,1.4 GB,1.4
HyAsP,KGVET-2020-01-2209-1,9m 1s,541,9.016666666666667,1.2 GB,1.2
HyAsP,KGVET-2020-01-202-1,8m 39s,519,8.65,1.4 GB,1.4
plasmidSPAdes,KGVET-2020-01-2328-1,22m 4s,1324,22.066666666666666,4.8 GB,4.8
HyAsP,2018-01-1439,8m 40s,520,8.666666666666666,1.3 GB,1.3
