#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq	SampleID
2018-01-1439__chr	1	5280837	1930463	5280837	100	94.7171	34.6	57.7	2018-01-1439
2018-01-1439__pl_1	1	154959	39956	154959	100	66.5954	35.1	56	2018-01-1439
2018-01-1439__pl_2	1	109457	29926	109457	100	70.6249	35.2	58.1	2018-01-1439
2018-01-1439__pl_3	1	9294	9518	9294	100	263.363	34.6	58.3	2018-01-1439
2018-01-1439__pl_4	1	5631	6598	5631	100	295.799	35.1	57.9	2018-01-1439
2018-01-1439__pl_5	1	2255	10640	2255	100	1185.66	35.5	57.7	2018-01-1439
2018-01-3218__chr	1	5282242	1503399	5282242	100	79.9813	34.5	58.6	2018-01-3218
2018-01-880__chr	1	5265240	1819147	5265240	100	90.0965	34.6	57.8	2018-01-880
2018-01-880__pl_1	1	5463	2601	5463	100	119.195	35.1	57.4	2018-01-880
KGMAR-2016-1400__chr	1	5088943	1089560	5088943	100	45.4432	35.2	55.5	KGMAR-2016-1400
KGMAR-2016-1400__pl_1	1	191744	42191	191744	100	46.4566	35.5	54.1	KGMAR-2016-1400
KGMAR-2019-1434__chr	1	5603882	1641080	5603882	100	69.1516	35.8	56	KGMAR-2019-1434
KGMAR-2019-1434__pl_1	1	164560	93529	164560	100	133.812	35.9	44.2	KGMAR-2019-1434
KGMAR-2019-1434__pl_2	1	54645	52605	54645	100	227.735	36	54.7	KGMAR-2019-1434
KGMAR-2019-1434__pl_3	1	14289	23121	14288	99.993	381.133	35.7	31.1	KGMAR-2019-1434
KGMAR-2019-1434__pl_4	1	12281	23657	12273	99.9349	459.355	35.7	30.1	KGMAR-2019-1434
KGMAR-2019-1434__pl_5	1	10145	20175	10136	99.9113	472.33	35.8	29.6	KGMAR-2019-1434
KGMAR-2019-1434__pl_6	1	8113	8166	8110	99.963	234.572	36.1	5.82	KGMAR-2019-1434
KGMAR-2019-1434__pl_7	1	5080	19497	5080	100	912.529	36.4	57.1	KGMAR-2019-1434
KGMAR-2019-1434__pl_8	1	3851	5948	3851	100	353.091	36.1	41.5	KGMAR-2019-1434
KGMAR-2016-1198__chr	1	5245077	2800673	5245077	100	106.725	35.1	55.4	KGMAR-2016-1198
KGMAR-2016-1198__pl_1	1	265616	145578	265615	99.9996	108.837	35.3	50.2	KGMAR-2016-1198
2018-01-3723__chr	1	5411208	1099717	5411208	100	43.4228	34.4	55.9	2018-01-3723
2018-01-3723__pl_1	1	127539	36718	127539	100	60.9931	34.8	55.8	2018-01-3723
KGMAR-2016-1396__chr	1	5192658	1388025	5192658	100	61.8166	34.2	56.4	KGMAR-2016-1396
KGMAR-2016-1396__pl_1	1	244519	72628	244507	99.9951	68.2539	34.4	51.5	KGMAR-2016-1396
KGMAR-2016-1396__pl_2	1	36633	15572	36633	100	98.6284	34.5	49.9	KGMAR-2016-1396
KGMAR-2016-1396__pl_3	1	12117	7344	12117	100	142.552	34.4	42.6	KGMAR-2016-1396
KGMAR-2016-1396__pl_4	1	4809	3818	4809	100	184.882	34.4	57	KGMAR-2016-1396
KGMAR-2016-1396__pl_5	1	1917	7382	1917	100	863.767	34.4	57	KGMAR-2016-1396
2018-01-4107__chr	1	5295991	2049849	5295991	100	90.1278	35.2	56.6	2018-01-4107
2018-01-4107__pl_1	1	45319	14449	45319	100	75.3274	35.7	52.3	2018-01-4107
2018-01-4107__pl_2	1	5631	12520	5631	100	508.766	35.5	56.9	2018-01-4107
2018-01-4107__pl_3	1	4232	36268	4232	100	1991.97	35.5	56.9	2018-01-4107
2018-01-4107__pl_4	1	3897	6881	3897	100	401.696	35.3	57	2018-01-4107
2018-01-4107__pl_5	1	1843	17125	1843	100	2053.63	35.6	56.4	2018-01-4107
2018-01-4107__pl_6	1	1506	8725	1506	100	1267.43	35.4	56.1	2018-01-4107
KGVET-2020-01-4188-1__chr	1	5228811	1686248	5228811	100	88.7326	34.3	58.4	KGVET-2020-01-4188-1
2018-01-710__chr	1	5210957	1583651	5210845	99.9979	81.9342	34.4	59.3	2018-01-710
2018-01-710__pl_1	1	34614	9974	34614	100	76.887	34.8	59.3	2018-01-710
2018-01-710__pl_2	1	6073	6893	5701	93.8745	293.444	34.8	59	2018-01-710
2018-01-710__pl_3	1	5540	3454	5540	100	162.179	34.9	59.3	2018-01-710
2018-01-2353__chr	1	5254528	1689067	5254528	100	66.8866	34.8	58.8	2018-01-2353
2018-01-2353__pl_1	1	205342	43212	205342	100	43.097	35.4	57.8	2018-01-2353
2018-01-2353__pl_2	1	4867	9497	4867	100	410.161	35.7	59.2	2018-01-2353
2018-01-4203__chr	1	5242521	1523171	5241870	99.9876	66.397	35.2	56.5	2018-01-4203
2018-01-4735__chr	1	5286513	1946504	5286513	100	99.3137	34	58.2	2018-01-4735
2018-01-4735__pl_1	1	9294	10849	9294	100	311.659	34	58.5	2018-01-4735
2018-01-4735__pl_2	1	5631	9119	5631	100	428.406	34.4	58.4	2018-01-4735
2018-01-4735__pl_3	1	5463	3963	5463	100	191.821	34.4	58.4	2018-01-4735
2018-01-4735__pl_4	1	1527	11642	1527	100	1822.6	34.4	57.2	2018-01-4735
KGVETS-2019-01-1336__chr	1	5222809	2014172	5222809	100	81.9584	35.1	56	KGVETS-2019-01-1336
KGVETS-2019-01-1336__pl_1	1	168896	75314	168896	100	94.3181	35.4	55.5	KGVETS-2019-01-1336
KGVETS-2019-01-1336__pl_2	1	110722	37141	110722	100	70.7529	35.5	56.4	KGVETS-2019-01-1336
KGVETS-2019-01-1336__pl_3	1	1551	17518	1551	100	2296.42	35.1	55.8	KGVETS-2019-01-1336
KGVET-2020-01-3043-2__chr	1	5105113	1505851	5105113	100	79.5568	32.3	58.2	KGVET-2020-01-3043-2
KGVET-2020-01-2328-1__chr	1	5476043	1223370	5475891	99.9972	61.1566	34.6	58.3	KGVET-2020-01-2328-1
KGMAR-2016-733__chr	1	5426328	1689902	5426328	100	68.5191	34.8	55.8	KGMAR-2016-733
KGMAR-2016-733__pl_1	1	233786	94232	233786	100	88.1683	35.1	47.7	KGMAR-2016-733
KGMAR-2016-733__pl_2	1	81511	37973	81511	100	102.983	34.9	45.8	KGMAR-2016-733
KGMAR-2016-733__pl_3	1	70467	33095	70451	99.9773	103.961	34.9	45.3	KGMAR-2016-733
KGMAR-2016-733__pl_4	1	5925	4320	5925	100	159.811	35.2	42.6	KGMAR-2016-733
KGMAR-2016-733__pl_5	1	5893	4656	5893	100	175.823	35	44.4	KGMAR-2016-733
KGMAR-2016-733__pl_6	1	5840	6986	5840	100	255.698	35.1	55.4	KGMAR-2016-733
KGMAR-2016-1178__chr	1	5235913	2727096	5235913	100	103.149	35.2	55.1	KGMAR-2016-1178
KGMAR-2016-1178__pl_1	1	149276	77889	149274	99.9987	102.585	35.4	49.4	KGMAR-2016-1178
KGMAR-2016-1178__pl_2	1	76750	79075	76750	100	205.882	35.4	44.1	KGMAR-2016-1178
KGMAR-2016-1178__pl_3	1	5488	7502	5488	100	272.326	35.3	55.2	KGMAR-2016-1178
KGMAR-2019-400-2__chr	1	5306170	937951	5305908	99.9951	41.8367	35.7	56.7	KGMAR-2019-400-2
KGMAR-2019-400-2__pl_1	1	150057	33706	150051	99.996	53.05	35.9	54.7	KGMAR-2019-400-2
KGMAR-2019-400-2__pl_2	1	27680	4170	27667	99.953	36.2633	36	51.2	KGMAR-2019-400-2
KGMAR-2019-400-2__pl_3	1	20008	8997	20008	100	109.027	35.9	55.4	KGMAR-2019-400-2
KGMAR-2019-400-2__pl_4	1	4711	1544	4711	100	78.4243	36.2	57.5	KGMAR-2019-400-2
KGVET-2019-01-792__chr	1	5622595	971531	5622595	100	46.5865	33.7	58	KGVET-2019-01-792
KGVET-2019-01-792__pl_1	1	208800	42609	208770	99.9856	54.8664	34.1	52.8	KGVET-2019-01-792
KGVET-2019-01-792__pl_2	1	100633	27772	100633	100	74.5753	34	55.8	KGVET-2019-01-792
KGVET-2019-01-792__pl_3	1	5840	4948	5840	100	225.219	34	58.2	KGVET-2019-01-792
KGVET-2019-01-792__pl_4	1	4163	3824	4163	100	245.687	34.1	50.5	KGVET-2019-01-792
KGVET-2019-01-3619__chr	1	5206778	1883582	5206778	100	94.7761	33.9	57.6	KGVET-2019-01-3619
KGVET-2019-01-3619__pl_1	1	230126	95536	230126	100	108.659	34.3	47.6	KGVET-2019-01-3619
KGVET-2019-01-3619__pl_2	1	119763	66862	119757	99.995	147.212	34.2	42.9	KGVET-2019-01-3619
KGVET-2019-01-3619__pl_3	1	105056	44854	105040	99.9848	111.762	34.3	0.761	KGVET-2019-01-3619
KGVET-2019-01-3619__pl_4	1	16307	14305	16084	98.6325	237.434	34.4	9.18	KGVET-2019-01-3619
KGVET-2019-01-3619__pl_5	1	5763	3466	5758	99.9132	162.936	34.4	0.0306	KGVET-2019-01-3619
KGVET-2019-01-3619__pl_6	1	3341	10642	3340	99.9701	862.112	34.4	39.8	KGVET-2019-01-3619
KGVET-2019-01-3619__pl_7	1	3336	5311	3332	99.8801	431.043	34.5	33.7	KGVET-2019-01-3619
KGVET-2020-01-2209-1__chr	1	5308300	1384029	5308300	100	59.9715	34.5	57.7	KGVET-2020-01-2209-1
KGVET-2020-01-2209-1__pl_1	1	177995	52158	177995	100	68.0407	35.4	56	KGVET-2020-01-2209-1
KGVET-2020-01-2209-1__pl_2	1	9294	3440	9294	100	83.2758	34.8	58.2	KGVET-2020-01-2209-1
KGVET-2020-01-2209-1__pl_3	1	5631	4051	5631	100	162.053	35.4	58.2	KGVET-2020-01-2209-1
KGVET-2020-01-2209-1__pl_4	1	5463	5491	5463	100	230.201	35.4	58.2	KGVET-2020-01-2209-1
KGVET-2020-01-2209-1__pl_5	1	3349	22503	3349	100	1490.61	35.6	57.2	KGVET-2020-01-2209-1
KGVET-2020-01-2209-1__pl_6	1	1306	13732	1306	100	2238.53	35.4	57.3	KGVET-2020-01-2209-1
KGVET-2018-04-44577__chr	1	5144053	1453184	5144053	100	64.2152	35.1	56.3	KGVET-2018-04-44577
KGVET-2018-04-44577__pl_1	1	25445	5891	25445	100	53.568	35.4	56.5	KGVET-2018-04-44577
KGVET-2018-04-44577__pl_2	1	4267	5416	4267	100	290.552	35.6	56.9	KGVET-2018-04-44577
KGMAR-2016-1200__chr	1	5312007	1657978	5312007	100	70.8533	34.7	56.4	KGMAR-2016-1200
KGMAR-2016-1200__pl_1	1	187807	68492	187807	100	82.5234	35	55.1	KGMAR-2016-1200
KGMAR-2016-1200__pl_2	1	2667	4943	2667	100	416.887	35	56.7	KGMAR-2016-1200
KGMAR-2019-2186__chr	1	5306834	2002781	5306834	100	102.399	34.9	58.1	KGMAR-2019-2186
KGMAR-2019-1497__chr	1	5270579	1383099	5270579	100	60.9335	35.8	56.5	KGMAR-2019-1497
KGMAR-2019-1497__pl_1	1	196095	77105	196095	100	90.9295	36	51.4	KGMAR-2019-1497
KGMAR-2019-1497__pl_2	1	110499	19814	110499	100	41.5168	36.1	57	KGMAR-2019-1497
KGMAR-2019-1497__pl_3	1	17017	7621	17017	100	104.17	34.9	57.4	KGMAR-2019-1497
KGMAR-2019-1497__pl_4	1	6213	16899	6213	100	625.457	35.2	57	KGMAR-2019-1497
KGMAR-2019-1497__pl_5	1	3788	8133	3788	100	507.967	36.1	57.1	KGMAR-2019-1497
KGMAR-2019-1497__pl_6	1	1900	10520	1900	100	1228.29	34.7	56.8	KGMAR-2019-1497
KGMAR-2019-1792__chr	1	5303093	2073038	5303093	100	93.3867	35.7	56.5	KGMAR-2019-1792
KGMAR-2019-1792__pl_1	1	151942	90773	151942	100	141.902	35.9	50.2	KGMAR-2019-1792
KGMAR-2019-1792__pl_2	1	122654	49567	122654	100	96.4407	35.9	52.6	KGMAR-2019-1792
2018-01-3094__chr	1	5238019	1211264	5238019	100	64.9339	34.5	58.5	2018-01-3094
2018-01-3094__pl_1	1	108402	16492	108330	99.9336	42.7418	34.8	0.0606	2018-01-3094
2018-01-3094__pl_2	1	54204	8354	54167	99.9317	43.1337	34.8	0.016	2018-01-3094
2018-01-3094__pl_3	1	42923	9147	42923	100	54.1376	35.3	51.2	2018-01-3094
2018-01-3094__pl_4	1	9294	5220	9294	100	155.269	34.3	58.8	2018-01-3094
2018-01-3094__pl_5	1	5631	4991	5631	100	242.601	34.8	58.8	2018-01-3094
2018-01-3094__pl_6	1	5463	1370	5463	100	67.5266	34.6	58.5	2018-01-3094
2018-01-3094__pl_7	1	3053	7997	3053	100	620.173	34.6	56.8	2018-01-3094
2018-01-2640__chr	1	5272379	1336392	5272379	100	70.7104	34.6	58.4	2018-01-2640
2018-01-2640__pl_1	1	148652	36613	148652	100	68.4364	34.9	56.8	2018-01-2640
2018-01-2640__pl_2	1	109452	23578	109452	100	59.8205	35.1	58.9	2018-01-2640
2018-01-2640__pl_3	1	82868	39069	82868	100	131.465	34.7	58.9	2018-01-2640
2018-01-2640__pl_4	1	5631	6984	5631	100	332.427	34.9	58.5	2018-01-2640
2018-01-2640__pl_5	1	5463	3304	5463	100	162.561	35	58.4	2018-01-2640
KGVET-2018-01-3794__chr	1	5267888	1714678	5267888	100	75.1957	34.8	56.5	KGVET-2018-01-3794
2018-01-2782__chr	1	5250366	1636138	5250366	100	80.0011	35.4	57.5	2018-01-2782
2018-01-778__chr	1	5234161	1380402	5234161	100	72.0014	34.1	59.3	2018-01-778
2018-01-778__pl_1	1	77938	31866	77938	100	111.939	34.4	59.4	2018-01-778
2018-01-778__pl_2	1	54425	34172	54425	100	170.801	34.4	59.7	2018-01-778
KGVET-2020-01-3513-1__chr	1	5351251	1483609	5351251	100	69.3187	35.2	57.4	KGVET-2020-01-3513-1
KGVET-2020-01-3421-1__chr	1	5235890	1459632	5235890	100	71.5742	35	57.7	KGVET-2020-01-3421-1
KGVET-2020-01-3421-1__pl_1	1	153877	77843	153877	100	129.917	35.3	56.1	KGVET-2020-01-3421-1
KGVET-2020-01-3421-1__pl_2	1	5874	10322	5874	100	409.989	35.3	55.5	KGVET-2020-01-3421-1
KGVET-2020-01-3421-1__pl_3	1	4091	2272	4091	100	119.213	35.3	47.8	KGVET-2020-01-3421-1
KGVET-2020-01-3421-1__pl_4	1	4074	1237	4074	100	55.9875	35.1	38.3	KGVET-2020-01-3421-1
KGVET-2020-01-3421-1__pl_5	1	1843	22846	1843	100	2643.5	35.5	51.3	KGVET-2020-01-3421-1
KGVET-2020-01-3421-1__pl_6	1	1306	19240	1306	100	3479.69	35.5	57.3	KGVET-2020-01-3421-1
KGVET-2020-01-3514__chr	1	5351057	2358949	5351057	100	106.195	35.5	56.9	KGVET-2020-01-3514
2018-01-2860__chr	1	5223344	1526719	5222968	99.9928	82.124	34.7	58.5	2018-01-2860
2018-01-2860__pl_1	1	5463	3572	5463	100	177.245	35	58.6	2018-01-2860
2018-01-2860__pl_2	1	5251	7882	5251	100	407.175	35	58.8	2018-01-2860
2018-01-2860__pl_3	1	1506	9915	1506	100	1636.45	35.1	57.9	2018-01-2860
2018-01-389__chr	1	5327507	1866151	5327507	100	81.5213	35.6	59.2	2018-01-389
KGVET-2020-01-3515__chr	1	5283334	845656	5283334	100	44.467	34.2	58.6	KGVET-2020-01-3515
KGVET-2020-01-3515__pl_1	1	237856	14813	237851	99.9979	17.0865	34.9	56.6	KGVET-2020-01-3515
KGMAR-2019-1766__chr	1	5079953	994707	5079953	100	46.7254	35.7	56.5	KGMAR-2019-1766
KGMAR-2019-1766__pl_1	1	249187	55130	249187	100	52.2068	35.8	53.7	KGMAR-2019-1766
KGMAR-2019-1766__pl_2	1	54905	37542	54905	100	162.288	35.9	57.1	KGMAR-2019-1766
KGMAR-2019-1766__pl_3	1	54725	13782	54725	100	59.3418	36	51	KGMAR-2019-1766
KGMAR-2019-1766__pl_4	1	2476	4374	2476	100	393.068	36	54.1	KGMAR-2019-1766
KGMAR-2019-1766__pl_5	1	2094	9592	2094	100	916.502	35.8	53.5	KGMAR-2019-1766
KGMAR-2019-1766__pl_6	1	1625	4157	1625	100	559.68	36.2	55.4	KGMAR-2019-1766
KGMAR-2019-1766__pl_7	1	1443	4052	1443	100	623.227	36.3	55.7	KGMAR-2019-1766
2018-01-1001__chr	1	5310593	1934873	5310593	100	96.0584	34	57.9	2018-01-1001
2018-01-1001__pl_1	1	114471	55975	114471	100	128.519	34.7	55.9	2018-01-1001
2018-01-1001__pl_2	1	108569	31245	108569	100	76.2666	34.6	58.4	2018-01-1001
2018-01-1001__pl_3	1	5631	8700	5631	100	399.007	34.5	58.1	2018-01-1001
2018-01-1001__pl_4	1	5463	17020	5463	100	820.946	34.4	58.4	2018-01-1001
2018-01-1001__pl_5	1	4091	5054	4091	100	315.821	34.3	58	2018-01-1001
2018-01-1001__pl_6	1	1457	7160	1457	100	1185.64	34.2	57.6	2018-01-1001
KGVETS-2019-01-2870__chr	1	5172574	2670705	5172574	100	96.7091	35.6	56.4	KGVETS-2019-01-2870
KGVETS-2019-01-2870__pl_1	1	274370	160450	274370	100	109.05	35.9	53	KGVETS-2019-01-2870
KGVETS-2019-01-2870__pl_2	1	232019	69454	232019	100	55.6665	36.1	54.4	KGVETS-2019-01-2870
KGVETS-2019-01-2870__pl_3	1	5263	6389	5263	100	232.522	35.9	56.5	KGVETS-2019-01-2870
KGVETS-2019-01-2870__pl_4	1	4678	8667	4678	100	350.272	35.6	56.8	KGVETS-2019-01-2870
KGVETS-2019-01-2870__pl_5	1	4055	19407	4055	100	908.048	36.4	56.9	KGVETS-2019-01-2870
KGVETS-2019-01-2870__pl_6	1	3967	21407	3967	100	1034.33	36.3	56.9	KGVETS-2019-01-2870
KGVETS-2019-01-2870__pl_7	1	2924	14735	2924	100	942.35	36.6	56.4	KGVETS-2019-01-2870
2018-01-2485__chr	1	5314429	1201742	5313887	99.9898	58.4612	35.3	57.5	2018-01-2485
2018-01-2485__pl_1	1	208334	77091	208334	100	95.3765	35.7	55.6	2018-01-2485
2018-01-2485__pl_2	1	9294	5577	9294	100	153.362	35.2	58.1	2018-01-2485
