Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90	QuastReferenceSequence	ToolName	QuastType	SRAssemblerUsed
2018-01-3218_plasmid	8	5	2	1	1	0	37328	35558	31675	25789	25789	0	8	25789	37328	5282242	51.14	57.43	25789	-	1156	-	18912.0	133.6	1	-	4	-	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0 + 2 part	27105	0.18	1.074	0.0	1079.81	58.9	2211.0	10187.0	-	-	-	-	360.1	2.5	-	-	-	-	2018-01-3218__chr	PlaScope_reads	Chromosome	unicycler
2018-01-2485_plasmid	21	19	11	9	2	1	230479	228631	210842	195663	90488	61091	21	61091	230479	5314429	49.25	57.33	19719	-	5758	-	28129.7	1219.9	4	-	11	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15 + 4 part	226820	0.065	1.066	0.0	1803.77	0.0	1529.0	3659.0	-	-	-	-	18.6	0.8	-	-	-	-	2018-01-2485__chr	PlaScope_reads	Chromosome	unicycler
KGVET-2020-01-3421-1_plasmid	18	16	9	5	2	0	166866	165408	144837	117975	71105	0	18	44547	166866	5235890	51.3	57.52	19003	-	4201	-	22201.3	707.5	3	-	11	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17 + 1 part	166382	0.009	1.0	0.0	2892.56	0.0	484.0	484.0	-	-	-	-	1.4	0.0	-	-	-	-	KGVET-2020-01-3421-1__chr	PlaScope_reads	Chromosome	unicycler
KGVET-2020-01-202-1_plasmid	8	1	1	0	0	0	10477	5590	5590	0	0	0	8	5590	10477	5128607	48.93	57.77	5590	-	560	-	3325.7	6.8	1	-	7	-								8 + 0 part	10477			0.0															KGVET-2020-01-202-1__chr	PlaScope_reads	Chromosome	unicycler
2018-01-1024_plasmid	12	12	8	5	4	1	207005	207005	195078	176475	157134	56695	12	56695	207005	5123193	48.21	57.65	31371	-	5900	-	34465.4	1392.6	3	-	7	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7 + 5 part	206249	0.012	1.202	0.0	264.55	0.0	188.0	756.0	-	-	-	-	0.6	0.0	-	-	-	-	2018-01-1024__chr	PlaScope_reads	Chromosome	unicycler
2018-01-880_plasmid	2	2	2	1	1	1	59918	59918	59918	54328	54328	54328	2	54328	59918	5265240	52.29	57.51	54328	-	54328	-	49781.0	566.5	1	-	1	-								2 + 0 part	59918			0.0															2018-01-880__chr	PlaScope_reads	Chromosome	unicycler
KGMAR-2016-733_plasmid	66	53	21	11	1	0	336637	327716	251227	184909	27081	0	66	27081	336637	5426328	51.99	57.24	11626	-	2273	-	12313.5	763.9	10	-	37	-	0.0	0.0	0.0	0.0	0.0	0.0	3.0	45 + 21 part	332243	0.072	1.117	0.0	1023.89	0.0	761.0	4395.0	-	-	-	-	3.6	0.2	-	-	-	-	KGMAR-2016-733__chr	PlaScope_reads	Chromosome	unicycler
2018-01-4639_plasmid	54	49	28	17	5	3	606559	602383	544904	456794	280372	210236	54	91413	606559	5207981	48.59	57.56	23295	-	4697	-	35865.1	4177.1	6	-	29	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49 + 4 part	603995	0.047	1.052	0.0	273.01	0.0	1986.0	2564.0	-	-	-	-	6.6	0.8	-	-	-	-	2018-01-4639__chr	PlaScope_reads	Chromosome	unicycler
2018-01-1584_plasmid	9	9	6	2	2	1	122375	122375	112978	90732	90732	54261	9	54261	122375	5228166	48.45	57.57	36471	-	5323	-	36191.9	847.1	2	-	6	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5 + 4 part	121866	0.005	1.996	0.0	0.0	0.0	128.0	509.0	-	-	-	-	0.5	0.0	-	-	-	-	2018-01-1584__chr	PlaScope_reads	Chromosome	unicycler
KGMAR-2019-1434_plasmid	36	31	15	8	2	0	229753	226176	188860	143855	62813	0	36	37348	229753	5603882	51.8	56.87	10804	-	2748	-	15944.2	653.7	6	-	21	-	1.0	1.0	1240.0	2.0	0.0	0.0	4.0	12 + 17 part	203930	0.354	1.286	0.0	1738.21	74.55	7163.0	25486.0	-	-	-	-	314.9	12.9	-	-	-	-	KGMAR-2019-1434__chr	PlaScope_reads	Chromosome	unicycler
