PlasmidTool	Prediction	SampleID	QueryID	QueryLength	SubjectID	SubjectLength	AlignmentLength	Identity	QCovHSP	SRAssemblerUsed
SRonlyContigs	truth	2018-01-2782	1_length=766070_depth=0.84x	766070	2018-01-2782__chr	5250366	362409	99.994	47	unicycler
SRonlyContigs	truth	2018-01-2782	1_length=766070_depth=0.84x	766070	2018-01-2782__chr	5250366	405073	99.995	53	unicycler
SRonlyContigs	truth	2018-01-2782	2_length=719639_depth=0.87x	719639	2018-01-2782__chr	5250366	719639	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	3_length=447325_depth=1.08x	447325	2018-01-2782__chr	5250366	447325	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	4_length=374751_depth=1.22x	374751	2018-01-2782__chr	5250366	374751	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	5_length=362410_depth=1.12x	362410	2018-01-2782__chr	5250366	267052	99.994	74	unicycler
SRonlyContigs	truth	2018-01-2782	5_length=362410_depth=1.12x	362410	2018-01-2782__chr	5250366	95797	99.981	26	unicycler
SRonlyContigs	truth	2018-01-2782	6_length=350199_depth=1.12x	350199	2018-01-2782__chr	5250366	350199	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	7_length=261284_depth=1.10x	261284	2018-01-2782__chr	5250366	261284	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	8_length=206896_depth=0.86x	206896	2018-01-2782__chr	5250366	206896	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	9_length=196193_depth=1.00x	196193	2018-01-2782__chr	5250366	106692	99.994	54	unicycler
SRonlyContigs	truth	2018-01-2782	9_length=196193_depth=1.00x	196193	2018-01-2782__chr	5250366	89645	100.0	46	unicycler
SRonlyContigs	truth	2018-01-2782	10_length=190970_depth=0.96x	190970	2018-01-2782__chr	5250366	190970	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	11_length=135790_depth=1.19x	135790	2018-01-2782__chr	5250366	135790	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	12_length=133852_depth=0.97x	133852	2018-01-2782__chr	5250366	133852	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	13_length=131899_depth=0.93x	131899	2018-01-2782__chr	5250366	131899	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	14_length=100435_depth=1.26x	100435	2018-01-2782__chr	5250366	50084	100.0	50	unicycler
SRonlyContigs	truth	2018-01-2782	14_length=100435_depth=1.26x	100435	2018-01-2782__chr	5250366	50351	100.0	50	unicycler
SRonlyContigs	truth	2018-01-2782	15_length=95614_depth=1.14x	95614	2018-01-2782__chr	5250366	95614	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	16_length=94191_depth=1.23x	94191	2018-01-2782__chr	5250366	94191	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	17_length=93426_depth=1.03x	93426	2018-01-2782__chr	5250366	93387	99.978	99	unicycler
SRonlyContigs	truth	2018-01-2782	18_length=86488_depth=1.19x	86488	2018-01-2782__chr	5250366	86488	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	19_length=72644_depth=0.92x	72644	2018-01-2782__chr	5250366	72644	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	20_length=66166_depth=1.17x	66166	2018-01-2782__chr	5250366	66166	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	21_length=61910_depth=0.88x	61910	2018-01-2782__chr	5250366	61910	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	22_length=39820_depth=1.12x	39820	2018-01-2782__chr	5250366	39820	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	23_length=35927_depth=1.01x	35927	2018-01-2782__chr	5250366	35927	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	24_length=34196_depth=1.14x	34196	2018-01-2782__chr	5250366	34196	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	25_length=26067_depth=0.89x	26067	2018-01-2782__chr	5250366	26067	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	26_length=23022_depth=0.39x	23022	2018-01-2782__chr	5250366	22914	99.965	99	unicycler
SRonlyContigs	truth	2018-01-2782	27_length=20302_depth=0.92x	20302	2018-01-2782__chr	5250366	20302	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	28_length=11035_depth=0.63x	11035	2018-01-2782__chr	5250366	11035	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	29_length=4402_depth=1.09x	4402	2018-01-2782__chr	5250366	4402	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	30_length=2816_depth=0.95x	2816	2018-01-2782__chr	5250366	2816	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	31_length=1451_depth=1.92x	1451	2018-01-2782__chr	5250366	1451	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	32_length=1445_depth=3.32x	1445	2018-01-2782__chr	5250366	1445	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	33_length=1333_depth=8.95x	1333	2018-01-2782__chr	5250366	1333	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	34_length=1250_depth=0.79x	1250	2018-01-2782__chr	5250366	1250	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	35_length=1250_depth=0.94x	1250	2018-01-2782__chr	5250366	1250	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	36_length=1125_depth=8.08x	1125	2018-01-2782__chr	5250366	1125	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	37_length=1087_depth=8.19x	1087	2018-01-2782__chr	5250366	1087	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	38_length=932_depth=2.01x	932	2018-01-2782__chr	5250366	932	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	39_length=600_depth=8.79x	600	2018-01-2782__chr	5250366	600	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	40_length=569_depth=2.14x	569	2018-01-2782__chr	5250366	569	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	41_length=511_depth=2.50x	511	2018-01-2782__chr	5250366	511	100.0	100	unicycler
